Product_ID|Price|Location|Shipping|Product_desc|In_Stock|ref_link|Product_image
32|$9,438|Timor-Leste|$73.87|justo faucibus lectus, a sollicitudin orci sem|True|google.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
127|$8,457|Qatar|$72.33|felis purus ac tellus.|True|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
24|$9,198|Pitcairn Islands|$39.52|blandit enim|True|yahoo.com|https://i.imgur.com/Nm2eU3C.png
16|$7,689|British Indian Ocean Territory|$94.78|Pellentesque ultricies|True|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
22|$8,754|Antigua and Barbuda|$49.46|diam|True|yahoo.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
134|$7,037|New Zealand|$80.90|gravida non, sollicitudin a,|True|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
194|$5,707|Côte D'Ivoire (Ivory Coast)|$20.46|interdum. Nunc sollicitudin commodo ipsum. Suspendisse|True|amazon.com|https://i.imgur.com/Nm2eU3C.png
18|$8,983|Holy See (Vatican City State)|$52.72|aliquam eu, accumsan|False|google.com|https://i.imgur.com/Nm2eU3C.png
143|$9,974|French Polynesia|$87.61|id enim. Curabitur|True|google.com|https://i.imgur.com/Nm2eU3C.png
111|$7,521|Thailand|$0.56|ut dolor|False|google.com|https://i.imgur.com/Nm2eU3C.png
33|$6,831|New Zealand|$78.60|neque vitae semper egestas, urna justo|True|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
72|$7,259|Yemen|$43.29|eget,|False|google.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
28|$5,699|Saint Pierre and Miquelon|$37.96|et magnis dis parturient|False|amazon.com|https://i.imgur.com/Nm2eU3C.png
186|$9,985|Georgia|$38.04|Curae; Phasellus ornare.|False|google.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
117|$7,895|Seychelles|$17.76|ultrices, mauris ipsum porta|True|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
176|$5,683|Monaco|$81.51|eu erat semper rutrum. Fusce dolor quam, elementum at, egestas|True|yahoo.com|https://i.imgur.com/Nm2eU3C.png
146|$6,131|Hong Kong|$75.24|eleifend vitae,|True|yahoo.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
133|$7,672|Gibraltar|$18.11|ut, molestie in, tempus eu, ligula. Aenean|True|google.com|https://i.imgur.com/Nm2eU3C.png
140|$5,002|Micronesia|$8.93|elit erat vitae risus. Duis a mi|True|google.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
30|$7,748|Cambodia|$0.96|Donec|True|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
15|$7,916|Anguilla|$45.96|tortor. Nunc commodo auctor velit.|False|yahoo.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
123|$9,958|Kazakhstan|$73.11|facilisis eget, ipsum. Donec sollicitudin adipiscing ligula. Aenean gravida nunc|False|yahoo.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
36|$6,201|Bulgaria|$32.10|tempor erat neque non quam. Pellentesque habitant morbi tristique senectus|True|google.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
52|$6,069|United Arab Emirates|$69.52|Vivamus sit amet risus. Donec egestas.|True|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
139|$8,794|Senegal|$95.71|euismod mauris eu elit. Nulla|False|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
30|$7,079|Namibia|$0.61|non, lobortis quis, pede.|True|yahoo.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
26|$9,464|Guernsey|$89.75|penatibus et magnis dis parturient montes, nascetur|True|google.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
185|$5,051|Austria|$56.20|tellus faucibus|True|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
69|$8,557|Guernsey|$1.88|nunc risus varius orci, in consequat enim diam vel|True|amazon.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
160|$6,862|Antarctica|$47.80|erat eget ipsum. Suspendisse sagittis. Nullam vitae diam. Proin dolor.|False|yahoo.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
99|$9,565|Gabon|$56.36|semper, dui lectus rutrum urna, nec luctus felis|True|amazon.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
74|$5,071|Madagascar|$51.03|dignissim tempor arcu. Vestibulum ut eros non|True|google.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
70|$8,463|Bulgaria|$24.00|sem, consequat|True|yahoo.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
18|$7,823|American Samoa|$30.69|Proin velit. Sed malesuada augue ut lacus. Nulla|False|google.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
122|$7,923|Tunisia|$53.85|libero. Proin sed turpis nec mauris blandit mattis. Cras eget|True|amazon.com|https://i.imgur.com/Nm2eU3C.png
9|$7,999|Virgin Islands, British|$78.76|hendrerit consectetuer,|False|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
187|$6,253|Paraguay|$27.22|aliquet|False|google.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
149|$5,234|Niger|$29.92|non lorem vitae odio sagittis semper. Nam tempor diam dictum|False|google.com|https://i.imgur.com/Nm2eU3C.png
26|$7,576|Ghana|$85.46|penatibus et magnis dis parturient montes, nascetur ridiculus mus. Proin|True|yahoo.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
127|$8,467|Nicaragua|$28.86|ultricies adipiscing, enim mi tempor lorem, eget mollis lectus|True|yahoo.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
157|$5,277|Norway|$69.85|tristique senectus et|False|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
184|$6,497|Central African Republic|$68.92|ut erat.|False|amazon.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
112|$8,147|New Caledonia|$72.48|eget mollis lectus pede et risus. Quisque|False|yahoo.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
142|$8,615|Malaysia|$99.14|nonummy ultricies ornare, elit elit fermentum risus, at fringilla purus|True|google.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
28|$7,514|Trinidad and Tobago|$89.35|ipsum sodales purus, in molestie tortor|False|yahoo.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
54|$5,014|Pakistan|$44.05|vitae diam. Proin dolor. Nulla semper tellus id|True|google.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
17|$5,991|Macao|$80.98|dolor sit amet, consectetuer adipiscing elit.|True|google.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
10|$5,863|Iraq|$80.67|at lacus. Quisque purus sapien, gravida|True|amazon.com|https://i.imgur.com/Nm2eU3C.png
43|$8,991|Oman|$89.29|augue, eu|False|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
90|$7,090|Ecuador|$0.74|vulputate dui, nec tempus mauris|False|yahoo.com|https://i.imgur.com/Nm2eU3C.png
29|$5,171|Mauritius|$19.18|nascetur ridiculus|True|yahoo.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
75|$6,625|South Africa|$82.80|tellus. Phasellus elit pede,|False|google.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
133|$7,722|Tokelau|$69.29|et, rutrum eu,|False|google.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
129|$9,856|Switzerland|$68.45|vel pede blandit congue. In scelerisque scelerisque|True|yahoo.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
59|$9,247|Nepal|$14.59|Vestibulum ut eros non enim commodo hendrerit. Donec porttitor|False|amazon.com|https://i.imgur.com/Nm2eU3C.png
72|$6,942|Brazil|$74.55|Nulla tincidunt, neque vitae semper egestas, urna|False|yahoo.com|https://i.imgur.com/Nm2eU3C.png
37|$9,608|San Marino|$58.33|dictum ultricies ligula. Nullam enim. Sed nulla ante, iaculis|False|amazon.com|https://i.imgur.com/Nm2eU3C.png
11|$5,907|Sint Maarten|$13.97|commodo auctor velit. Aliquam|False|yahoo.com|https://i.imgur.com/Nm2eU3C.png
174|$7,301|British Indian Ocean Territory|$45.22|adipiscing. Mauris molestie pharetra nibh. Aliquam ornare,|False|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
144|$8,222|Åland Islands|$80.60|pharetra ut,|False|google.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
72|$7,675|Liberia|$37.69|lacinia mattis. Integer eu lacus. Quisque imperdiet, erat nonummy ultricies|True|yahoo.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
9|$5,684|Hungary|$93.08|et pede.|True|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
152|$9,159|Saint Lucia|$69.84|dolor sit amet, consectetuer adipiscing elit. Etiam laoreet, libero et|True|google.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
183|$9,123|Nicaragua|$87.08|auctor, velit eget laoreet posuere, enim nisl elementum purus, accumsan|True|google.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
123|$6,339|Costa Rica|$39.65|ornare, facilisis eget,|True|yahoo.com|https://i.imgur.com/Nm2eU3C.png
91|$5,278|Central African Republic|$90.76|Donec elementum, lorem ut|False|amazon.com|https://i.imgur.com/Nm2eU3C.png
137|$6,045|Christmas Island|$46.07|porttitor tellus non magna.|True|amazon.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
39|$8,943|Saint Pierre and Miquelon|$1.15|eu, ultrices sit amet, risus. Donec nibh enim,|True|yahoo.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
24|$9,509|Guinea|$20.17|mi. Aliquam gravida mauris|False|amazon.com|https://i.imgur.com/Nm2eU3C.png
116|$5,829|Niue|$69.40|gravida. Praesent eu nulla at sem molestie sodales. Mauris blandit|False|amazon.com|https://i.imgur.com/Nm2eU3C.png
74|$9,950|Niger|$65.56|eget, dictum|True|yahoo.com|https://i.imgur.com/Nm2eU3C.png
28|$8,862|Grenada|$69.61|nec, mollis vitae, posuere|True|yahoo.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
112|$9,185|Tokelau|$3.35|Cras pellentesque.|True|yahoo.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
83|$8,737|Botswana|$0.01|elit elit fermentum risus, at fringilla purus|True|yahoo.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
21|$5,281|Bulgaria|$76.44|iaculis aliquet diam.|False|google.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
200|$7,358|Guyana|$64.85|consequat, lectus sit amet luctus vulputate,|True|yahoo.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
172|$7,681|Mali|$51.04|arcu. Vestibulum ante ipsum primis in|True|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
74|$6,488|Romania|$6.46|varius ultrices, mauris ipsum porta elit, a feugiat tellus lorem|False|yahoo.com|https://i.imgur.com/Nm2eU3C.png
95|$9,851|Malta|$83.44|arcu. Sed eu nibh vulputate mauris sagittis|False|google.com|https://i.imgur.com/Nm2eU3C.png
133|$6,158|Colombia|$61.85|est tempor bibendum. Donec felis|False|yahoo.com|https://i.imgur.com/Nm2eU3C.png
129|$6,321|Slovenia|$32.93|nunc.|True|google.com|https://i.imgur.com/Nm2eU3C.png
66|$8,836|Ghana|$41.24|vitae, erat. Vivamus|True|yahoo.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
146|$7,177|Bhutan|$52.95|lobortis quam|False|yahoo.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
77|$6,527|Tonga|$88.50|enim commodo hendrerit. Donec|False|google.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
141|$8,028|Cayman Islands|$92.58|non, vestibulum nec, euismod in, dolor. Fusce feugiat.|True|yahoo.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
42|$7,413|Dominica|$3.20|dictum placerat, augue. Sed molestie. Sed id risus quis|True|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
113|$6,788|Cameroon|$63.48|nulla. In tincidunt|True|amazon.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
98|$9,089|Armenia|$58.68|magna. Lorem ipsum dolor sit amet,|True|amazon.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
80|$5,671|Saint Barthélemy|$87.55|pede, ultrices a, auctor non, feugiat nec, diam.|True|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
94|$9,691|Tunisia|$1.58|dapibus id, blandit|True|google.com|https://i.imgur.com/Nm2eU3C.png
67|$7,671|Estonia|$59.22|Quisque porttitor eros nec tellus. Nunc lectus pede, ultrices|True|amazon.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
56|$6,925|Ecuador|$42.90|iaculis, lacus pede sagittis|True|yahoo.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
127|$9,766|Nauru|$8.02|lobortis tellus justo sit|True|google.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
68|$7,051|Montenegro|$76.28|ipsum cursus vestibulum. Mauris|True|google.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
169|$7,977|Bolivia|$13.28|Nunc mauris elit, dictum eu, eleifend nec,|True|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
88|$9,399|French Guiana|$25.22|tincidunt pede ac urna.|True|yahoo.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
61|$6,162|Senegal|$10.24|eget, volutpat ornare, facilisis eget, ipsum. Donec sollicitudin adipiscing|False|yahoo.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
96|$7,011|Czech Republic|$65.73|sed, facilisis vitae, orci.|True|yahoo.com|https://i.imgur.com/Nm2eU3C.png
51|$8,737|Mauritius|$78.24|sollicitudin|False|amazon.com|https://i.imgur.com/Nm2eU3C.png
111|$5,115|Virgin Islands, United States|$7.33|ipsum sodales purus, in molestie tortor nibh sit amet orci.|False|google.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
49|$5,089|Liechtenstein|$12.40|tincidunt, nunc ac mattis ornare, lectus ante dictum mi, ac|True|google.com|https://i.imgur.com/Nm2eU3C.png
59|$8,342|Spain|$2.01|Nunc mauris elit, dictum|True|google.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
125|$7,704|Algeria|$56.30|at, libero. Morbi accumsan laoreet ipsum. Curabitur|False|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
131|$6,977|Morocco|$86.64|vitae velit egestas lacinia. Sed congue, elit sed consequat auctor,|False|amazon.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
15|$8,028|Montenegro|$49.33|metus sit amet ante. Vivamus|False|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
134|$6,011|Reunion|$65.15|vulputate ullamcorper|True|google.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
51|$6,110|Ethiopia|$77.01|aliquam arcu. Aliquam ultrices iaculis odio. Nam interdum enim non|False|google.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
79|$6,666|Rwanda|$53.49|volutpat. Nulla dignissim. Maecenas ornare egestas|True|google.com|https://i.imgur.com/Nm2eU3C.png
33|$5,119|San Marino|$79.64|eu, placerat eget, venenatis|False|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
154|$8,733|Belgium|$31.57|eget nisi dictum augue malesuada malesuada. Integer id magna et|True|yahoo.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
127|$7,178|Brazil|$96.50|nulla ante, iaculis nec, eleifend non, dapibus rutrum, justo.|False|yahoo.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
91|$5,752|Ireland|$16.89|tristique ac, eleifend vitae, erat.|False|yahoo.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
189|$6,942|Heard Island and Mcdonald Islands|$89.83|posuere vulputate, lacus.|False|google.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
56|$9,342|Andorra|$90.86|felis, adipiscing fringilla, porttitor vulputate, posuere vulputate, lacus. Cras interdum.|True|google.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
41|$7,896|Brazil|$15.81|Donec feugiat metus sit amet ante. Vivamus|False|yahoo.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
127|$8,562|Uzbekistan|$47.29|tortor. Integer aliquam adipiscing lacus. Ut nec urna|False|yahoo.com|https://i.imgur.com/Nm2eU3C.png
185|$9,947|Somalia|$66.23|elit pede, malesuada vel, venenatis vel, faucibus id, libero.|True|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
132|$5,163|Tokelau|$37.35|pharetra.|False|google.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
10|$7,438|Guinea|$38.59|interdum. Sed auctor odio|False|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
123|$8,857|Montenegro|$35.39|commodo|False|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
134|$8,603|Eritrea|$4.32|libero nec ligula consectetuer rhoncus. Nullam velit dui, semper|True|google.com|https://i.imgur.com/Nm2eU3C.png
137|$5,413|Bahamas|$88.42|luctus sit amet, faucibus ut, nulla. Cras eu tellus|False|amazon.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
164|$9,180|Holy See (Vatican City State)|$71.69|Curae; Donec|False|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
82|$9,450|Guatemala|$68.65|Quisque libero lacus,|False|google.com|https://i.imgur.com/Nm2eU3C.png
119|$5,728|Falkland Islands|$70.50|augue scelerisque mollis. Phasellus libero mauris, aliquam eu,|False|amazon.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
152|$6,869|Malawi|$81.99|neque venenatis lacus. Etiam|False|google.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
173|$7,200|Iceland|$14.07|lobortis, nisi nibh|True|google.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
23|$8,625|Latvia|$55.55|id, ante.|False|yahoo.com|https://i.imgur.com/Nm2eU3C.png
199|$8,489|Zambia|$11.02|mauris id sapien. Cras dolor dolor, tempus non, lacinia at,|True|yahoo.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
26|$9,468|Christmas Island|$45.98|et risus. Quisque|False|amazon.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
111|$8,171|Spain|$42.70|ullamcorper eu, euismod|True|google.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
186|$5,377|United Arab Emirates|$7.88|tortor. Nunc commodo|True|yahoo.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
191|$7,076|Cocos (Keeling) Islands|$67.68|odio, auctor vitae, aliquet nec, imperdiet nec, leo.|True|amazon.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
134|$8,690|Equatorial Guinea|$4.33|ornare lectus justo eu|True|google.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
8|$9,880|Northern Mariana Islands|$69.10|Integer id magna et ipsum|False|yahoo.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
115|$6,163|South Africa|$89.06|Mauris vestibulum, neque|True|yahoo.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
129|$5,954|Saint Kitts and Nevis|$18.59|Mauris ut quam vel|True|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
41|$6,559|Burkina Faso|$64.33|odio tristique pharetra. Quisque ac libero nec|True|yahoo.com|https://miro.medium.com/max/500/1*ZhYNqU2y96_f3QkWq9oiWQ.jpeg
179|$9,488|Tokelau|$27.00|justo. Proin non massa non ante bibendum ullamcorper. Duis cursus,|True|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Bws7vMhIIAAFK9R.jpg
159|$6,708|Colombia|$15.98|Mauris eu turpis. Nulla aliquet.|False|amazon.com|https://analyticsindiamag.com/wp-content/uploads/2017/06/Trump_Big_Data_Meme.jpg
